	1	2	3	4	5	6	7	8	9	10	11	12	13	15	16	17	18	19	20	21	22	23
Date Time	DeC2FeedFlow.m	DeC2AmbTemp.m	DeC2FeedTemp.m	DeC2OvhdPress.m	DeC2ProdPress.m	DeC2ProdTemp.m	DeC2OvhdTemp.m	DeC2RefTemp.m	DeC2Tr39Temp.m	% C3 IN C2 COMP	DeC2Tr9Temp.m	DeC2Tr1Temp.m	DeC2RebAVapTemp.m	DeC2BtmTempA.m	DeC2BtmTempB.m	DeC2RefFlow.m	DeC2ProdFlow.m	DeC2RebSteamA.m	DeC2RebSteamB.m	DeC2BtmFlow.m	DeC2TopDeltaP.m	DeC2Bott.DeltaP.m
Date Time	10f010.pv	11T0030.PV	10T0003.PV	10p012.pv	10P020.PV	10T0015.PV	10T0009.PV	10T0010.PV	10T013.PV	10A100C3.PV	10T014.PV	10T0006.PV	10T0002.PV	10T0004.PV	10T0005.PV	10f015.pv	10F016.PV	10f012.pv	10f021.pv	10fz013.pv	10P010.pv	10P011.pv
8/13/2004 17:55	8.707686424	96.258461	201.3165741	384.987854	379.1395874	41.88909912	47.58458328	43.20749664	79.82120514	1.500976682	131.0398865	181.4065399	199.255127	201.7479553	204.4778137	6.01458168	4882.623535	92.1884079	92.71752167	5372.036621	1.444980621	2.195682526
8/13/2004 18:00	8.694552422	96.31797028	201.3165894	384.9857788	379.1438293	41.88910294	47.55821228	43.20749664	79.78275299	1.498458862	130.8557434	181.2320709	199.2287445	201.8006897	204.7032776	5.999650955	4943.919922	93.43929291	92.65509796	5393.868652	1.444356441	2.192874193
8/13/2004 18:05	8.696737289	96.37747955	200.8419495	384.9837036	I/O Timeout	I/O Timeout	47.55821228	43.73924637	79.74429321	I/O Timeout	131.3327484	I/O Timeout	198.9698181	201.7252655	204.6505432	6.008245945	4906.618164	93.13523865	92.59267426	5409.592285	1.443732381	2.190065861
8/13/2004 18:10	8.706131935	96.43699646	200.984787	384.9815979	I/O Timeout	I/O Timeout	47.55821228	43.36569977	79.78785706	I/O Timeout	130.875473	I/O Timeout	199.4576263	201.7401733	204.5977936	6.001218319	4928.11377	93.24434662	92.67054749	5383.294434	1.44310832	2.18725729
8/13/2004 18:15	8.719771385	96.34984589	201.4246674	384.9827881	I/O Timeout	I/O Timeout	47.55821228	43.51218796	79.85715485	I/O Timeout	130.7164307	I/O Timeout	199.5515594	201.7688446	204.5450592	5.986401081	4930.518066	93.02919006	92.85002136	5392.138672	1.443287253	2.185667992
8/13/2004 18:20	8.69470787	96.51604462	200.9606018	384.9893494	I/O Timeout	I/O Timeout	47.55821228	43.86044693	79.92646027	I/O Timeout	130.6512299	I/O Timeout	199.6339569	201.7974854	204.4923401	5.990991116	4917.734863	92.97006226	93.02947998	5406.291504	1.444776535	2.186067581
8/13/2004 18:25	8.711704254	96.70106506	201.2440796	384.9958801	379.2949219	41.96358871	47.6184845	43.82575226	79.99576569	1.475753069	130.8425598	181.6460419	199.7163696	201.8261566	204.5189514	6.007517338	4965.105957	93.05741882	93.20895386	5377.056152	1.446265817	2.186467171
8/13/2004 18:30	8.707655907	96.89917755	201.44841	385.0024414	379.2918396	41.86470795	47.43014145	43.7910614	80.06506348	1.477095842	131.0338745	181.6384125	199.7987671	202.2236176	204.5848694	6.019958973	5022.260254	93.04044342	93.3371582	5321.319824	1.447754979	2.186866522
8/13/2004 18:35	8.708518028	96.83049774	201.6000366	385.0078125	379.2887878	41.76582718	47.63123322	43.75636292	80.05126953	1.486251354	131.4723511	181.603714	199.6290131	202.1357269	204.9896393	6.038900375	4993.884766	94.51353455	93.23184204	5359.367676	1.448524356	2.186656475
8/13/2004 18:40	8.706412315	96.76184082	201.2414246	385.007782	379.2857361	41.66694641	47.52981949	43.34922028	79.64629364	1.490600348	131.112854	181.5690308	199.4734497	202.0478516	204.5927887	5.989025593	4950.251953	92.40547943	93.12651825	5350.758301	1.446013331	2.183668852
