	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Date Time	DeC2FeedFlow.m	DeC2AmbTemp.m	DeC2FeedTemp.m	DeC2OvhdPress.m	DeC2ProdPress.m	DeC2ProdTemp.m	DeC2OvhdTemp.m	DeC2RefTemp.m	DeC2Tr39Temp.m	DeC2Tr9Temp.m	DeC2Tr1Temp.m	DeC2RebAVapTemp.m	DeC2BtmTempA.m	DeC2BtmTempB.m	DeC2RefFlow.m	DeC2ProdFlow.m	DeC2RebSteamA.m	DeC2RebSteamB.m	DeC2BtmFlow.m	DeC2TopDeltaP.m	DeC2Bott.DeltaP.m	% C3 IN C2 COMP
Date Time	10f010.pv	11T0030.PV	10T0003.PV	10p012.pv	10P020.PV	10T0015.PV	10T0009.PV	10T0010.PV	10T013.PV	10T014.PV	10T0006.PV	10T0002.PV	10T0004.PV	10T0005.PV	10f015.pv	10F016.PV	10f012.pv	10f021.pv	10fz013.pv	10P010.pv	10P011.pv	10A100C3.PV
8/1/2004 3:35	7.483504772	94.60734558	201.3231659	384.9871521	379.6329346	39.71218872	42.28516388	41.64598846	56.83309555	130.7226868	182.7741089	198.7819519	201.2928314	204.4807434	5.893465996	4654.148438	81.91692352	82.99065399	4358.513184	1.346344233	1.985638142	0.19525744
8/1/2004 3:40	7.315950871	94.69522858	200.5387268	384.9816589	379.7215576	39.59585571	42.13300323	41.67235565	55.85558701	129.6047974	182.8976898	198.2117462	201.1610107	203.9034424	5.631318092	4564.095703	82.07619476	83.04548645	4541.060059	1.344437122	1.985547066	0.204909995
8/1/2004 3:45	7.284554482	94.78312683	200.7839355	384.9889526	379.8101807	39.47952652	42.39404297	41.69872284	58.51192093	130.5697937	183.0213013	198.5413361	200.9342346	204.044693	5.727128029	4783.930176	83.14748383	82.91216278	4299.145508	1.344043255	1.984875798	0.216681421
8/1/2004 3:50	7.311616898	94.87100983	200.9126587	384.9962769	379.8987732	39.26548004	42.19628525	41.72508621	59.01363754	132.6296387	183.2413025	199.0319824	201.8307495	204.1859589	5.854621887	4830.086914	81.34441376	81.92167664	4101.462891	1.346117973	1.984204531	0.210882917
8/1/2004 3:55	7.305337906	94.58053589	200.7328796	385.0036316	379.9873657	40.39930344	41.96556473	41.75145721	54.94216537	131.580246	183.0606842	199.2598724	202.1119995	203.9599609	5.675490379	4492.65918	79.47667694	80.93119049	4405.981934	1.348192692	1.983533382	0.201422185
8/1/2004 4:00	7.307008743	95.06980133	200.6006775	385.0109558	380.054657	40.531147	42.4990387	41.82162857	55.50553894	129.2994232	182.8629303	198.5610962	201.4747772	203.5095062	5.513089657	4557.716797	80.70365143	80.36814117	4537.599121	1.350267529	1.982862115	0.20142217
8/1/2004 4:05	7.296517849	94.95993805	200.7984314	385.0204163	380.0248718	39.91149902	42.71635437	41.70529556	58.42219162	129.7732544	182.9842224	198.3699646	201.6212616	203.7292328	5.667702198	4838.823242	81.36013794	80.50248718	4192.864746	1.352342248	1.982704639	0.204474017
8/1/2004 4:10	7.306268692	94.47431946	201.0313263	385.039856	379.9949646	39.91150284	42.41645813	41.58896637	58.1121254	131.1011047	183.4390564	198.7615051	201.8571167	203.9064026	5.743540764	4722.25293	80.52651215	80.63684082	4106.473145	1.354712486	1.98488915	0.204474017
8/1/2004 4:15	7.289974689	94.19965363	200.9114532	385.0592651	379.9651184	39.91149902	42.41645813	41.37492371	56.78449249	130.2099762	183.3376617	198.6296844	201.6395721	203.7827911	5.69398737	4855.677246	80.35713959	80.77118683	4302.755859	1.357564569	1.987073541	0.167851791
8/1/2004 4:20	7.310396194	94.02020264	200.7915955	385.0787048	379.9353333	39.91150284	42.41645813	41.86273193	56.39736557	129.22789	182.8985291	198.4978485	201.514328	203.6591949	5.621576786	4582.830078	81.12597656	80.90554047	4357.530273	1.36041677	1.989257813	0.191519231
